PID,Starttime,Endtime,RID,RName,RInstructions,PresentationOrder,GestureFile
850,1781614660,1781616524,101,SS Tutorial,"Imagine you are at home assembling something together with another person. While you are working, you need something from the other person. How would you signal that you need some attention?",1,task_101_1781614660.json
850,1781616524,1781616853,102,SD Tutorial,"Imagine you are in the kitchen at home cooking something while another person in the same room is doing something else. While you are monitoring the stove, you see a pot dangerously close to boiling over. How would you signal this imminent danger to the other person?",2,task_102_1781616524.json
850,1781616853,1781617441,2,SS Interaction-mediated,"Imagine you are collaboratively assembling something together with another person. While you are working, you open a shared box to retrieve a tool for the task. Inside the box you see a sensitive doctor's note belonging to the other person that becomes visible as a result of opening it. How would you show the other person that you are not looking at the note?",3,task_2_1781616853.json
850,1781617441,1781617710,1,SS Direct,"Imagine you are collaboratively assembling something together with another person. While you are working, the other person's phone receives a notification that appears on their screen in your shared field of view, and you could read it if you continued looking at it. How would you show the other person that you are not reading the notification?",4,task_1_1781617441.json
850,1781617710,1781618072,3,SS Background,"Imagine you are collaboratively assembling something together with another person. While you are working, the other person receives a phone call on speakerphone and begins discussing private personal information. How would you show the other person that you are not listening to the conversation?",5,task_3_1781617710.json
850,1781618072,1781618714,8,SD Control,"Imagine you are assembling something while another person is doing something else. While you are working, you look for a specific tool and find that the other person is currently using it. How would you notify the other person that you want them to hand over the tool in their hand when they are finished using it?",6,task_8_1781618072.json
850,1781618714,1781618923,4,SD Direct,Imagine you are assembling something while another person is doing something else. The other person's phone displays a notification on their screen that is visible from your position if you were to look in their direction. How would you show them that you are not reading their notification?,7,task_4_1781618714.json
850,1781618923,1781619250,7,SS Control,"Imagine you are collaboratively assembling something together with another person. While you are working, you look for a specific tool and find that the other person is currently using it. How would you notify the other person that you want them to hand over the tool in their hand when they are finished using it?",8,task_7_1781618923.json
850,1781619250,1781619588,5,SD Interaction-mediated,"Imagine you are assembling something while another person is doing something else. You need to retrieve a tool from a shared storage area, and in doing so you open a box that contains personal documents belonging to the other person, which become visible when the box is opened. How would you show them that you are not looking at their documents?",9,task_5_1781619250.json
850,1781619588,1781619852,6,SD Background,Imagine you are assembling something while another person is doing something else. The other person receives a phone call on speakerphone and begins discussing private personal information while you are both working independently. How would you show them that you are not listening to the conversation?,10,task_6_1781619588.json
